-3.37842,-1.37688,6
-4,2.31675,-4.36547
-0.279224,4.39067,-6
1.73126,2,-1.51711
-0.267697,2,-4.30026
-4,-0.704022,-4.64937
0.543715,2,-0.335212
-4,0.0933245,3.42058
1.06427,2,-0.412491
4,-1.66783,-4.99015
4,7.8587,-5.48526
-0.216106,-1.41775,-6
-2.01872,2.91978,-6
-0.472068,6.04613,-6
-2.89543,0.779794,6
-0.671599,0.781022,-6
4,0.931427,-5.86779
-4,-3.50512,-0.151412
1.16466,-3.11666,6
1.87543,0.663733,-6
4,-2.49587,0.615137
-1.17721,2,-5.4767
4,-0.314296,-2.50895
-2.25995,-5,-5.39601
-2.18129,1.47689,6
-0.893834,-4.20565,-6
-4,-1.63419,-4.28185
-2.76517,2,3.14193
4,-0.425529,-0.973194
-3.85935,0.980419,6
4,-0.521213,3.22299
0.458909,2,0.260889
4,-1.49973,-4.89803
-3.50286,2,-0.233126
-4,-4.33925,-1.14493
4,5.90515,-5.17723
4,-0.598729,0.332573
-0.405511,-0.525538,-6
2.83053,2,1.34425
-4,10.9367,-5.98612
4,6.29165,-5.40367
4,0.752451,-2.33393
-3.13956,-5,2.598
-4,6.18492,-3.52441
0.960245,2,-1.78064
0.637643,-4.78227,6
-3.10862,-3.50913,-6
-4,-2.49639,1.98305
-3.21485,2,3.06577
1.39807,2,0.386901
-1.18107,-5,4.91935
-4,-4.33346,2.1169
-4,-4.17614,-2.96983
-4,0.550675,0.73396
-4,4.66132,-5.36811
1.13376,2,-0.150389
-4,3.79573,-5.91049
4,9.29233,-2.41636
3.62261,-5,-1.52293
1.42308,2,1.13269
-4,-2.09459,4.25069
-3.44214,16.1874,-6
2.49815,5.31648,-6
4,4.6065,3.57036
-4,2.53977,1.0201
-2.3409,4.06817,-6
1.77966,2,-2.58417
3.09962,-2.45939,-6
-4,1.91996,-1.72678
3.90539,8.33392,6
4,8.20662,-2.93866
0.0739134,2,1.83189
4,3.79024,0.722247
4,3.5313,4.22344
0.809903,2,-5.18218
-1.76271,-5,-1.57277
-1.07102,1.64646,-6
-3.13275,2,-4.43009
4,7.56791,4.07205
-3.4932,5.5064,-6
3.3032,-4.45944,6
2.42031,-2.60079,-6
0.889206,-0.320925,6
2.25304,-3.14533,-6
4,6.77703,-5.99739
-4,-1.42461,0.177181
0.395192,2,0.182017
1.86466,3.45059,-6
-4,3.55491,4.24258
-4,4.0823,-1.6915
-3.71418,7.58929,-6
4,6.21501,3.71778
-4,10.7767,1.29858
2.99107,7.95108,6
1.10647,2,-1.00552
4,-0.207395,0.326715
4,1.97997,-4.39336
2.87916,2,-3.0198
4,-3.01321,5.52076
4,9.5646,2.4624
-2.58391,2,-0.31182
4,-2.77335,1.01465
-4,-3.29288,4.95748
1.49762,2,1.02834
4,-0.912701,-2.71157
-4,6.30873,0.923268
-2.72717,-5,-3.36814
2.61045,2,-2.98412
-0.434827,2,0.630538
4,1.03677,-1.41256
-4,-2.63671,-1.75165
4,38.7263,5.6756
-3.94338,7.09009,6
4,15.4871,2.51691
0.61929,2,-5.29894
4,2.43006,-5.85383
-2.49373,0.535676,6
-4,-3.15752,2.7723
1.1898,-5,-0.810929
3.97478,1.35982,6
-3.02111,27.6599,6
-4,1.46351,0.591297
2.8107,2,3.81526
4,1.46721,5.91258
-0.939851,31.876,-6
-4,1.61642,3.96879
0.661151,2,-0.80513
0.997527,9.27218,-6
-3.11981,2,-4.56894
-3.50265,-5,-1.19474
0.484337,-1.22747,6
-4,1.25594,1.87403
-0.381252,-5,-2.85279
4,6.01185,-4.69483
3.99271,2,-3.08992
0.540768,2,1.71687
-4,-0.815418,-1.27208
4,37.9818,5.52095
-4,1.52093,-4.74762
-4,-2.03785,-1.02302
4,-0.606357,-4.96021
3.63271,0.510078,6
2.55177,2,4.12635
-2.77929,2,-2.54176
-4,3.16944,-4.46801
-0.871595,2,-4.44247
3.81704,2,3.07292
-1.094,2.35332,-6
3.84114,-3.02403,6
4,13.7512,5.07241
-2.40445,-5,3.7951
-1.13463,3.93789,-6
2.03,0.34343,-6
4,-1.70052,1.82209
-1.3188,-2.73431,-6
4,2.51499,-1.53102
-3.1373,1.99285,6
4,2.77491,-5.798
4,-0.35293,-4.94267
-1.5196,-5,-1.40971
-0.7415,2,0.354821
-2.08594,2,-2.78899
-0.649315,2,1.03042
-0.732471,-1.56402,-6
-2.14008,7.38089,-6
0.233073,1.74108,6
-2.47382,11.2739,6
-4,9.40802,-4.81631
1.39373,2,-1.05705
-0.616165,9.6492,6
0.502415,-4.60397,-6
1.3279,2,-4.71174
-4,-1.04276,-1.39355
-1.03282,-4.29941,-6
4,10.54,4.90684
0.835469,0.127336,6
4,2.6504,-5.71637
2.45102,2,0.126204
3.14072,2,0.438752
0.992984,2,-0.647723
0.244477,-4.91707,-6
-4,-0.429082,1.19922
-2.19868,2,2.68835
-1.45212,-4.1218,6
0.65453,-3.03915,6
4,6.8616,-4.24365
0.744949,2,-1.24601
-3.57746,6.57512,-6
-2.56106,1.79974,6
2.01445,2,-3.05904
-0.522117,-4.89897,6
